Country,Year,Air_Pollution_Index,Water_Pollution_Index,Soil_Pollution_Index,Industrial_Waste (in tons),Energy_Recovered (in GWh),CO2_Emissions (in MT),Renewable_Energy (%),Plastic_Waste_Produced (in tons),Energy_Consumption_Per_Capita (in MWh),Population (in millions),GDP_Per_Capita (in USD)
Spain,2004,217.42,97.5,18.87,29480.82,54.68,43.72,31.11,49584.27,0.78,105.76,49171.17
Chile,2013,151.36,46.24,145.4,34983.87,356.05,17.33,48.28,17005.27,8.85,156.48,13773.68
Lebanon,2010,100.08,189.25,124.67,80623.8,320.7,44.57,8.6,15489.99,17.52,153.65,47473.27
Denmark,2015,53.84,110.44,36.58,31206.69,51.8,6.05,37.86,3232.14,5.33,39.95,8405.39
Nicaragua,2007,225.91,39.15,105.65,47647.84,356.57,38.54,28.69,49852.28,8.97,17.63,58597.21
Mauritania,2018,279.79,161.06,117.2,33855.8,366.17,37.53,43.67,32530.18,4.84,170.04,68709.78
Macao,2017,187.4,119.08,31.58,74261.29,487.84,2.1,38.78,18585.09,18.59,135.74,30262.34
Rwanda,2000,231.53,199.32,49.64,21975.66,309.92,38.17,17.57,42740.43,18.95,191.57,36483.32
Palestinian Territory,2012,189.78,47.67,67.37,55096.0,88.35,32.3,28.26,17333.11,18.32,195.19,29122.88
Nepal,2002,195.73,135.08,55.08,75285.16,279.67,11.28,28.55,42138.49,18.02,79.49,53537.25
Latvia,2019,136.87,44.33,23.48,55331.21,31.51,10.83,32.45,38142.43,8.65,98.6,22685.34
Bolivia,2012,253.88,188.37,102.24,62681.16,93.73,15.04,16.04,14852.95,1.36,121.03,33147.22
Sweden,2005,106.57,96.27,16.13,99237.91,174.24,27.08,33.38,10554.46,19.83,102.8,36861.2
Mexico,2014,290.76,68.99,141.29,69812.04,436.94,38.87,34.87,27946.54,14.8,12.15,35211.31
Latvia,2011,163.69,155.39,35.01,67157.8,432.71,33.89,35.09,48391.89,10.33,133.69,25926.28
Holy See (Vatican City State),2011,150.99,105.34,14.38,38284.06,89.44,14.36,35.78,33206.34,8.8,80.11,20890.72
Dominican Republic,2007,51.16,51.49,24.99,90697.99,80.86,8.72,29.26,15294.08,8.19,143.48,50827.42
Germany,2007,93.76,119.55,36.83,53153.11,386.89,6.61,31.08,19810.18,16.29,86.1,6675.11
Guyana,2011,176.56,59.0,14.45,26290.18,35.14,47.96,32.59,5785.02,14.08,77.84,35066.18
Honduras,2017,189.66,35.98,99.85,6950.89,160.95,28.42,45.66,34597.71,2.41,3.43,27549.9
Cuba,2001,175.79,90.66,64.4,20868.91,367.78,6.02,29.08,24581.93,10.16,69.64,32529.26
El Salvador,2005,134.99,185.6,78.59,69956.14,480.87,27.58,5.49,44318.1,2.12,62.31,51796.04
Luxembourg,2019,79.25,176.92,97.36,27856.86,151.5,27.92,25.43,22180.2,15.19,89.67,48406.21
Puerto Rico,2004,178.32,109.42,92.64,47031.12,98.54,14.28,45.77,9878.49,14.02,112.65,59035.22
Kuwait,2008,114.42,178.05,16.87,94572.47,450.29,47.22,30.83,2267.07,8.43,43.92,16585.27
Kenya,2016,184.48,188.93,40.9,7593.18,480.61,40.4,19.92,1755.55,4.75,177.67,29102.47
Indonesia,2006,248.35,123.25,110.5,66376.91,11.73,29.13,20.88,49820.99,7.49,148.56,68962.4
Kiribati,2015,112.54,52.97,11.83,66635.18,385.04,9.39,49.0,12305.01,5.16,83.71,30529.35
Moldova,2017,160.69,191.24,138.94,91374.01,15.98,16.26,18.26,19743.99,19.98,89.06,60117.39
Peru,2000,144.27,121.68,101.8,36661.7,253.84,44.72,12.54,39740.59,0.81,33.59,62738.07
Norfolk Island,2017,170.91,130.44,139.98,11681.25,254.33,27.49,36.28,32348.68,13.55,145.87,56368.11
Romania,2008,110.82,107.61,126.49,29957.06,405.65,3.49,31.89,25234.37,3.66,179.65,65796.66
Spain,2004,134.92,157.31,75.53,88456.83,307.91,2.42,18.68,48265.22,9.46,145.99,26353.46
Norfolk Island,2010,243.9,179.14,99.45,39265.8,251.8,45.26,40.33,40683.02,11.62,83.42,1882.22
Mali,2005,220.4,103.95,60.53,97999.49,116.27,3.47,16.72,48345.42,11.88,167.27,47516.96
Papua New Guinea,2003,274.13,138.76,114.09,51345.49,333.14,19.8,33.32,1312.71,19.54,119.99,47374.59
Philippines,2003,265.51,120.74,134.66,71259.19,232.33,5.22,31.02,17294.61,9.54,29.58,28349.51
Moldova,2012,170.49,184.52,125.08,90483.33,226.52,20.2,30.78,17217.07,3.2,61.34,37063.7
Western Sahara,2016,114.45,111.88,121.19,48981.55,304.6,35.53,34.53,36190.09,14.21,197.69,47679.79
Mauritania,2013,145.67,68.61,18.16,60113.53,13.22,44.67,18.13,20572.64,4.11,105.53,9226.03
Czech Republic,2008,247.16,45.22,96.37,9714.05,442.26,31.84,38.18,10978.07,17.5,67.75,28241.99
Afghanistan,2006,105.1,82.34,84.06,20688.64,146.28,34.82,6.23,32865.57,12.72,186.7,48957.56
Pitcairn Islands,2002,225.29,100.07,112.8,96712.35,318.03,22.85,26.81,26394.42,14.23,118.55,68452.39
Barbados,2013,250.04,56.47,126.82,56508.07,411.86,18.43,10.71,47034.44,0.53,75.78,52158.82
Cuba,2009,153.11,31.79,20.91,71534.45,111.74,17.28,8.46,43574.9,12.73,2.32,62577.51
Saint Kitts and Nevis,2011,138.27,118.96,40.23,4935.49,100.57,10.71,40.27,27059.79,8.01,128.12,12641.9
Saint Helena,2012,183.91,158.91,82.73,92304.74,36.98,38.16,16.34,37182.05,13.97,55.39,26095.99
Solomon Islands,2008,225.2,53.17,24.17,31187.82,181.02,40.66,32.71,12032.79,10.85,35.8,14736.96
Latvia,2004,115.84,78.75,42.34,49503.35,81.23,4.85,17.38,4065.66,6.28,92.96,14818.18
Bangladesh,2002,121.82,120.97,63.95,74694.68,25.89,46.22,16.56,36905.26,15.18,114.02,59238.04
Korea,2011,149.73,146.92,37.04,2818.85,293.27,38.46,38.36,24700.29,14.11,183.06,28895.94
Vanuatu,2002,237.2,113.63,101.96,68746.82,305.61,28.82,32.17,1443.62,12.44,40.65,17068.01
Croatia,2010,135.5,158.43,89.8,36182.44,172.24,5.55,45.96,45405.35,11.72,166.62,30304.59
